""	"ARID2_1"	"ARID2_2"	"ARID2_3"	"ARID2_4"	"Control_1"	"Control_2"	"Control_3"	"Control_4"
"ENSG00000136881"	844,130427258783	1010,01012525414	942,093272204861	883,388786102368	3215,95752109055	2818,61532062459	2921,48557435559	4075,73367158594
"ENSG00000136999"	39,0060268520054	35,2701948501445	46,4556508411389	84,0296650194935	80,7051853825099	72,157977550756	64,0476010663612	104,400323235771
"ENSG00000137492"	5264,81347048606	5219,98883782138	5140,18113130484	5513,638789356	4872,57556746904	5222,09956052508	5147,5971942764	4943,90478059919
"ENSG00000137699"	166,02565275469	140,279184063075	203,585058097932	178,832364015845	187,351323209398	160,351061223902	180,248248715331	225,284908035084
"ENSG00000138131"	4768,73682129132	4813,58000170722	5003,54686412502	7426,92962364601	4010,75948070581	3869,80561087017	4103,62129689471	5410,9588582329
"ENSG00000138297"	7041,0879240543	6236,41172577554	5898,50131415284	5543,8032844912	6207,09345432983	5655,04742582962	5877,73984643292	6391,7724212637
"ENSG00000138315"	1,0001545346668	0	1,3663426717982	0	7,20582012343839	4,4541961451084	16,46938313135	8,24213078177137
"ENSG00000139144"	8,00123627733444	0	1,3663426717982	0	2,88232804937535	3,56335691608672	7,31972583615556	10,9895077090285
"ENSG00000141367"	65976,1940338304	68295,1211599422	75271,817789363	72769,6899068814	60403,5077667346	58407,8740508064	62121,5982057228	59340,5942518266
"ENSG00000141753"	226209,951878265	198366,79019525	176614,136927972	131321,129571105	125180,227766384	127923,622448284	127584,651255651	131139,169180301
"ENSG00000141934"	13581,0984262405	11877,2381157861	11337,2283192456	8420,20335631233	11530,7533615261	11320,7849224075	11210,1601180722	9689,99842243587
"ENSG00000142619"	40,0061813866722	16,8335020875689	49,8715075206344	66,7928106565205	105,2049738022	81,9572090699945	50,3231151235695	190,94269644437
"ENSG00000142657"	173997,884550519	153349,196041066	152093,751339881	147282,456711218	137621,796791513	132688,721484321	137272,308399802	135327,545305904
"ENSG00000142789"	1,0001545346668	5,61116736252298	0,683171335899101	0	7,92640213578222	2,67251768706504	0,914965729519445	4,12106539088568
"ENSG00000142920"	160,024725546689	187,573308975768	162,594777943986	155,131689266757	179,424921073616	171,931971201184	134,499962239358	171,71105795357
"ENSG00000143127"	30,0046360400041	48,095720250197	75,8320182848002	75,411237838007	72,0582012343839	65,0312637185826	80,5169841977112	81,0476193540851
"ENSG00000143847"	30,0046360400041	25,6510508001051	39,6239374821479	34,4737087259461	32,4261905554727	41,8694437640189	39,3435263693362	57,6949154723996
"ENSG00000144381"	49043,5777619214	45335,0259078357	47320,5457523871	48228,7185075985	38071,9506221867	37083,8554257145	41294,2333046716	39200,9476865683
"ENSG00000145920"	124891,297052913	113751,187963741	114108,058721219	119403,999385905	167792,565648349	167308,515602562	166059,875147673	189558,018473032
"ENSG00000146648"	25042,8693935221	28906,3294657059	31869,9428196931	26796,844714037	21980,6337045365	21380,1414965203	22144,9155515591	20029,7514881681
"ENSG00000146858"	459,070931412063	513,021016002101	535,606327344895	734,720917221726	462,613651924744	546,084447390289	562,703923654459	717,065378014109
"ENSG00000146966"	225,034770300031	172,342997563206	172,842347982473	211,15146594642	193,115979308149	202,220504987921	233,316261027459	219,79015418057
"ENSG00000147180"	680,105083573427	830,452769653401	795,894606322453	779,96765992453	975,668044713557	903,310978227983	896,666414929056	563,21227008771
"ENSG00000147571"	0	1,60319067500657	0	0	0,720582012343839	2,67251768706504	4,57482864759723	0
"ENSG00000147872"	3547,54813446316	3065,30057061256	3274,44021296439	4987,91473128532	3927,17196727392	3853,77050474778	3836,45130387503	6323,08799808227
"ENSG00000148942"	1,0001545346668	0,801595337503283	0	2,15460679537163	5,04407408640687	12,4717492063035	8,23469156567501	5,49475385451425
"ENSG00000149136"	48309,464333476	42524,6326545492	43232,4484783669	43400,2446791707	38996,4573440239	37501,6590241256	39632,6555398643	32945,1704232038
"ENSG00000149212"	882,136299576122	1260,10787055516	1105,37122148475	1301,38250440446	1957,82132753821	1836,01965101368	1957,11169544209	1596,22599473639
"ENSG00000149527"	24,0037088320033	22,4446694500919	12,9802553820829	4,30921359074326	2,88232804937535	6,23587460315175	9,14965729519446	4,12106539088568
"ENSG00000150281"	17,0026270893357	19,2382881000788	7,51488469489011	12,9276407722298	30,9850265307851	30,2885337867371	15,5544174018306	24,7263923453141
"ENSG00000150687"	30427,7014081682	30267,4383487865	30228,9652708634	29856,3863634647	38843,693957407	37856,2130372763	38853,1047383137	39617,1752910477
"ENSG00000151131"	2153,33271313763	1777,13686324478	1778,29498734536	1266,90879567852	1783,440480551	1791,4776895626	1728,37026306223	1158,01937483888
"ENSG00000153113"	30151,6587566002	29851,4103686223	30915,552463442	33857,4911824698	40671,8105227233	38926,1109513313	41019,7435858158	51543,5385322709
"ENSG00000153132"	2484,38386411234	2430,43706330995	2695,79409145785	3660,6769453364	2781,44656764722	2559,38110497928	2854,69307610067	3342,18403200829
