""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000162595"	23,9863084012011	0,683965625870811	0,53130895415515	1,28732185016231	0,197982130751858	0,35287403304596
"ENSG00000162738"	480,325681393721	1,41984212950626	0,341252655682132	4,16067715771508	3,17305368539771e-05	0,00023058018724602
"ENSG00000162745"	101,516042385123	0,88682537709885	0,287290969027991	3,08685434874372	0,00202286687273633	0,00595076371300106
"ENSG00000162777"	470,970687834882	0,805573098991938	0,169469018461218	4,75351250810656	1,99912730415038e-06	2,63363292677202e-05
"ENSG00000163009"	106,34409957977	-0,640238297867941	0,276301302391733	-2,31717437567568	0,0204942347839343	0,0485136964025944
"ENSG00000163273"	1,44075345447204	-2,47819432177462	1,59349733409826	-1,5551920098925	0,119900346679311	0,240594735389612
"ENSG00000163286"	3,70158596238155	0,907198799397077	1,03841101452781	0,873641348854144	0,382313600743002	0,626167681216917
"ENSG00000163485"	814,943585551429	0,544447364425722	0,417261242018539	1,30481173327268	0,19195696281117	0,346208093641574
"ENSG00000164379"	548,089867452994	1,27994801089468	0,333912786476	3,83318058707127	0,000126497019804263	0,000628337655749044
"ENSG00000164488"	1209,43366130089	1,33778324696442	0,526815100767005	2,53937908199045	0,011104942506561	0,0282756099116636
"ENSG00000164520"	289,195228481295	0,000279418607751332	0,506920709722723	0,000551207718272487	0,999560199894066	0,999590581734975
"ENSG00000165125"	5,64243578682206	3,54509614066997	0,940795274000692	3,76819084729731	0,000164434968949529	0,000758977113928255
"ENSG00000165929"	3742,32310893182	0,139808010375757	0,105929827340426	1,31981722132386	0,186896050411867	0,339098822004765
"ENSG00000166664"	46,914066127688	-0,0746045148638411	0,340916969744059	-0,218834852720443	0,826778696269936	0,998063525776059
"ENSG00000167281"	771,687688162798	1,15805026311145	0,334904776977787	3,45784934321275	0,000544505785583667	0,00196411015514108
"ENSG00000167460"	50267,3809139352	-0,225462260874176	0,043379833513294	-5,19739802148115	2,02097342134489e-07	4,08236631111667e-06
"ENSG00000167468"	27368,9107066133	-0,374538059119287	0,131387815956656	-2,85063007092564	0,00436327002078916	0,0121290900577901
"ENSG00000167920"	1115,78604932359	-0,0413244893489975	0,143066514434098	-0,288848089383161	0,77269762980556	0,989486941865718
"ENSG00000168003"	50646,783888261	-0,581881745184452	0,135137333898309	-4,3058548544573	1,6634210295659e-05	0,000132635939989071
"ENSG00000168405"	9,47755450486497	-0,388708887676151	1,31462687177005	-0,295680010825264	0,767474464026826	0,989486941865718
"ENSG00000168679"	10235,8763393121	0,0395217665222888	0,103269161985755	0,382706373929327	0,701937487913075	0,962384881618379
"ENSG00000168702"	18,6040807088943	-0,431767780697725	0,51181750105087	-0,843597141190393	0,398894562344598	0,642899214842624
"ENSG00000168874"	1967,06744787497	0,402754855812558	0,167120011831284	2,40997383496574	0,0159536646166896	0,0386716830308556
"ENSG00000169418"	143,121263203443	0,0311422587335031	0,542629218723953	0,057391415093233	0,954233401495231	0,999590581734975
"ENSG00000169764"	23830,3145956908	0,272060555546335	0,0466310021171459	5,83432787618134	5,40078273359854e-09	1,48767015298214e-07
"ENSG00000170004"	23871,214757283	-0,036130537464118	0,107867424319087	-0,33495318621161	0,737660400298287	0,980311847764829
"ENSG00000170759"	28007,396187771	-0,246236702516787	0,116971017928083	-2,10510865749821	0,0352818508039475	0,0773952495261335
"ENSG00000171877"	365,268827207232	-0,200037034099824	0,442041568258193	-0,452529916785979	0,650887274093292	0,917296949071011
"ENSG00000172159"	3896,70718183688	0,330906298795922	0,157601155499888	2,09964386204108	0,0357601812992036	0,0773952495261335
"ENSG00000172346"	620,606996048433	-0,300930067471088	0,218622736704953	-1,37648111082433	0,168672731431532	0,313545016096651
"ENSG00000172403"	1073,80023388853	0,220075322428459	0,269058689390051	0,817945418998968	0,413388354118758	0,65924563841044
"ENSG00000172660"	24350,9895338992	-0,291399311682625	0,100262718800259	-2,9063575690895	0,00365663328437886	0,0104524517468566
"ENSG00000172955"	1168,62651946761	1,66987299095974	0,578936382439071	2,88438080869011	0,00392184188196414	0,0110259695420701
"ENSG00000173545"	3649,72855380559	-0,086000459921911	0,19976484961637	-0,430508470769842	0,666825806170372	0,928975461458029
"ENSG00000174013"	1755,87471743145	-0,243626138069969	0,124029425190145	-1,96426080098714	0,0494998550356411	0,104884308222372
"ENSG00000175768"	11862,1751886883	-0,101611090358577	0,405186416977556	-0,250776151669973	0,801987180714799	0,991845370435037
"ENSG00000175920"	149,874927275594	1,48797789986551	0,208244232535446	7,14534986995252	8,97669531943919e-13	3,88562668827154e-11
"ENSG00000176171"	2138,27568373935	0,0326674706901421	0,182617216097958	0,178884945177452	0,858028044118687	0,999590581734975
"ENSG00000179314"	1074,66988887588	0,0663948626792727	0,0974613813569605	0,681242783088575	0,495717880899578	0,757844207432015
"ENSG00000179542"	0,10019941718791	-0,858496400459527	3,5338115409304	-0,242937799742852	0,80805358259917	0,994773981906967
"ENSG00000179588"	731,507870545909	0,321568657703632	0,31934221655761	1,00697195995576	0,313948249131708	0,531431952440824
"ENSG00000179743"	324,986321176247	0,00128930929791848	0,255727440175053	0,00504173231091629	0,995977296671652	0,999590581734975
"ENSG00000179837"	6108,52607194837	0,0228315901889538	0,0872556900800088	0,261663052209185	0,793581228331529	0,989486941865718
"ENSG00000179862"	1122,428091263	-0,0871418419383615	0,179973631824687	-0,484192273361726	0,628249419942364	0,893706921326462
"ENSG00000180287"	913,006839663522	1,22496241678556	0,118686198764588	10,3210181936592	5,66195034428017e-25	5,71856984772298e-23
"ENSG00000180316"	5,93686789435808	-2,91610828044805	0,811994087728021	-3,5912925038745	0,000329042089717592	0,00131183885768987
"ENSG00000180525"	315,295187149043	0,643221914896775	0,279441811771872	2,30180985020911	0,0213458978227367	0,0501380390720095
"ENSG00000182568"	13,8444396067787	1,92428953301881	0,738763542757622	2,6047434959174	0,00919430638163229	0,0238108960139708
"ENSG00000183035"	0,443621533095051	0,901535327732407	3,50149126971031	0,257471819373405	0,796814567046981	0,989486941865718
"ENSG00000183207"	19089,9155655942	-0,14378956882806	0,143974734881266	-0,99871389898124	0,31793330568652	0,535187731238975
"ENSG00000183576"	8128,55035959761	-0,0710854278460654	0,102443320677207	-0,693900074462165	0,487744876898937	0,754013763777438
"ENSG00000183607"	5,35299580458233	-3,38932937560416	0,899778700316902	-3,76684775313134	0,000165321747588333	0,000758977113928255
"ENSG00000185033"	8035,26452477636	0,1428250510107	0,0979367799839539	1,45833925757107	0,144747054469098	0,277584541165423
"ENSG00000185837"	23,3900934210294	0,281489076841834	0,671845090760297	0,418979137770115	0,675231379200764	0,933686418176947
"ENSG00000186076"	1225,55708683345	0,00345733128927249	0,493599205953995	0,00700432911473266	0,994411399637316	0,999590581734975
"ENSG00000186204"	1446,54839035744	0,0323969395403872	0,157959965761459	0,205095888595664	0,837497208584059	0,99906163071248
"ENSG00000186207"	3,68994502487232	-4,68094565218842	1,20241153885013	-3,89296468051597	9,90265741756648e-05	0,000508560202969939
"ENSG00000186510"	4,91719614856686	2,67985601250544	0,841652948977861	3,18403923583939	0,00145235324979549	0,00449043912946973
"ENSG00000186715"	39,8086923801118	0,612025441382224	0,276503771394446	2,2134433765431	0,0268670929520737	0,06140204058416
"ENSG00000186908"	1972,4590070988	0,0430751984012559	0,300605159698735	0,143294940261257	0,886057251682867	0,999590581734975
"ENSG00000188162"	3,76158103024778	-3,98435216931866	1,25001133678756	-3,18745282707447	0,0014353186873501	0,00448352126048536
"ENSG00000189431"	172,854511861619	0,860013568340143	0,233159943216127	3,6885133718829	0,000225568173208897	0,000962636006792899
"ENSG00000196091"	7,77049941317274	-6,45789543747947	1,11846642804448	-5,7738840215083	7,7464766705256e-09	1,95598535930771e-07
"ENSG00000196230"	124582,916650477	-0,302360145843782	0,0922898029169751	-3,27620318049426	0,00105212840078817	0,00342790220901953
"ENSG00000196296"	434,64057957322	0,191153024054145	0,112369070742178	1,70111777904377	0,0889208730219334	0,18204746301112
"ENSG00000196305"	41641,9920668631	-0,358699799095886	0,111582506641439	-3,21465980548849	0,00130599197948472	0,00416542705035654
"ENSG00000197122"	34194,3365702159	-0,258691661169325	0,0685991821329072	-3,77106042850662	0,000162555299695188	0,000758977113928255
"ENSG00000198074"	304218,207536964	-0,544041666322975	0,13623821242009	-3,99331183710356	6,51567874426135e-05	0,000379663588367536
"ENSG00000198959"	26464,8220212762	-0,657975587596077	0,194965562916376	-3,37482977893022	0,000738613613101563	0,00254318096329288
"ENSG00000203740"	4,57021032246053	-5,69681544587984	1,42237974122293	-4,00512977004427	6,19834438968617e-05	0,000375619670014982
"ENSG00000204053"	4,26174043989852	4,00033319749851	1,11189281585622	3,59776872415354	0,000320958818529439	0,00129667362685893
"ENSG00000204262"	13008,4792908907	0,382093162736358	0,181549954129062	2,10461723644794	0,0353246400138457	0,0773952495261335
"ENSG00000204316"	7997,6679451947	-0,0492688366089682	0,173921173577979	-0,28328256758731	0,776960239258767	0,989486941865718
"ENSG00000204740"	5,71709737188674	4,33123954962421	1,10917311247037	3,9049265627956	9,42540028028433e-05	0,000505724199977606
"ENSG00000204880"	3,5226719976448	-5,37124789920526	1,70397742503263	-3,15218254672734	0,00162054926826031	0,00486164780478093
"ENSG00000205426"	101012,078047737	-0,603822693691982	0,245787276289035	-2,45668816876393	0,0140224344743364	0,0345430702904384
"ENSG00000206190"	1700,69493650668	0,034334098670238	0,186393465489676	0,184202265782433	0,853854782058786	0,999590581734975
"ENSG00000206913"	5,68402203625659	-0,0083587803871033	0,660418161715394	-0,0126567996939877	0,989901604553746	0,999590581734975
"ENSG00000207643"	10,2730170233505	-0,163090940079651	0,601029774140375	-0,271352513796695	0,786119920773438	0,989486941865718
"ENSG00000213424"	43,7091015438346	3,13069703482081	0,530798321533645	5,89809143664063	3,67730190168051e-09	1,11422247620919e-07
