geometry/type,geometry/coordinates/0/0/0,geometry/coordinates/0/0/1,geometry/coordinates/0/1/0,geometry/coordinates/0/1/1,geometry/coordinates/0/2/0,geometry/coordinates/0/2/1,geometry/coordinates/0/3/0,geometry/coordinates/0/3/1,geometry/coordinates/0/4/0,geometry/coordinates/0/4/1,type,properties/co_F_level,properties/pm1_F_level,properties/pm1_level,properties/no2_F,properties/no2,properties/co_level,properties/last_measure,properties/pm1_F,properties/co,properties/o3_F,properties/count_SMAQ,properties/o3_level,properties/pm25,properties/pm1,properties/pm10_F_level,properties/iuca.level_F_global,properties/pm25_F_level,properties/count_F,properties/pm25_F,properties/no2_F_level,properties/count,properties/iuca.level_global,properties/pm10_level,properties/co_F,properties/pm10,properties/o3,properties/pm10_F,properties/o3_F_level,properties/no2_level,properties/pm25_level,properties/no2_M_level,properties/resp_APP_level,properties/iuca.level_APP_global,properties/no2_M,properties/pm25_M_level,properties/o3_M_level,properties/co_M_level,properties/pm1_M,properties/count_APP,properties/iaq_APP_level,properties/pm10_APP_level,properties/pm10_M,properties/iuca.level_M_global,properties/o3_M,properties/pm25_M,properties/count_M,properties/pm10_M_level,properties/pm1_M_level,properties/co_M,properties/co_APP_level
Polygon,-4.439849853515625,36.714935302734375,-4.439849853515625,36.71630859375,-4.4384765625,36.71630859375,-4.4384765625,36.714935302734375,-4.439849853515625,36.714935302734375,Feature,,,,,,,2018-05-02T18:32:23+00:00,,,,,,,,,,,,,,2548,moderate,,,,,,,,,,moderate,moderate,,,,,,2548,good,good,,,,,,,,,good
Polygon,-4.44122314453125,36.714935302734375,-4.44122314453125,36.71630859375,-4.439849853515625,36.71630859375,-4.439849853515625,36.714935302734375,-4.44122314453125,36.714935302734375,Feature,,,,,,,2018-05-03T18:07:03+00:00,,,,,,,,,,,,,,2410,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,2410,good,good,,,,,,,,,good
Polygon,-4.426116943359375,36.720428466796875,-4.426116943359375,36.7218017578125,-4.42474365234375,36.7218017578125,-4.42474365234375,36.720428466796875,-4.426116943359375,36.720428466796875,Feature,,,moderate,,0,good,2018-11-14T15:17:09+00:00,,0,,1,good,6,5,,,,,,,2313,good,good,,7,1,,,good,good,good,moderate,moderate,0,good,good,good,5,2312,good,good,7,good,1,6,1,good,moderate,0,good
Polygon,-4.442596435546875,36.71356201171875,-4.442596435546875,36.714935302734375,-4.44122314453125,36.714935302734375,-4.44122314453125,36.71356201171875,-4.442596435546875,36.71356201171875,Feature,,,,,,,2018-05-03T18:08:18+00:00,,,,,,,,,,,,,,2281,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,2281,good,good,,,,,,,,,good
Polygon,-4.449462890625,36.717681884765625,-4.449462890625,36.71905517578125,-4.448089599609375,36.71905517578125,-4.448089599609375,36.717681884765625,-4.449462890625,36.717681884765625,Feature,,,unhealthy-low,,2,good,2018-08-02T10:28:38+00:00,,170,,2072,good,12,8,,,,,,,2275,moderate,good,,13,1,,,good,moderate,good,unhealthy-low,unhealthy-low,2,moderate,good,good,8,203,good,good,13,moderate,1,12,2072,good,unhealthy-low,170,good
Polygon,-4.45770263671875,36.69708251953125,-4.45770263671875,36.698455810546875,-4.456329345703125,36.698455810546875,-4.456329345703125,36.69708251953125,-4.45770263671875,36.69708251953125,Feature,,,,,,,2018-10-22T14:54:10+00:00,,,,,,,,,,,,,,2248,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,2248,good,good,,,,,,,,,good
Polygon,-4.409637451171875,36.720428466796875,-4.409637451171875,36.7218017578125,-4.40826416015625,36.7218017578125,-4.40826416015625,36.720428466796875,-4.409637451171875,36.720428466796875,Feature,,,,,,,2018-07-05T15:14:25+00:00,,,,,,,,,,,,,,2225,unhealthy,,,,,,,,,,unhealthy,unhealthy,,,,,,2225,good,good,,,,,,,,,good
Polygon,-4.4384765625,36.705322265625,-4.4384765625,36.706695556640625,-4.437103271484375,36.706695556640625,-4.437103271484375,36.705322265625,-4.4384765625,36.705322265625,Feature,,,unhealthy,,9,good,2018-09-19T16:56:42+00:00,,80,,2192,good,15,10,,,,,,,2199,unhealthy-low,moderate,,19,2,,,good,unhealthy-low,good,good,good,9,unhealthy-low,good,good,10,7,good,good,19,unhealthy-low,2,15,2192,moderate,unhealthy,80,good
Polygon,-4.448089599609375,36.71630859375,-4.448089599609375,36.717681884765625,-4.44671630859375,36.717681884765625,-4.44671630859375,36.71630859375,-4.448089599609375,36.71630859375,Feature,,,unhealthy-low,,2,good,2018-08-02T11:12:52+00:00,,135,,2186,good,11,7,,,,,,,2186,moderate,good,,12,1,,,good,moderate,good,,,2,moderate,good,good,7,,,,12,moderate,1,11,2186,good,unhealthy-low,135,
Polygon,-4.41375732421875,36.720428466796875,-4.41375732421875,36.7218017578125,-4.412384033203125,36.7218017578125,-4.412384033203125,36.720428466796875,-4.41375732421875,36.720428466796875,Feature,moderate,unhealthy-low,unhealthy-low,18,18,moderate,2018-12-16T13:47:24+00:00,6,5946,2,4,good,12,7,good,moderate,moderate,4,12,good,2152,moderate,good,5946,13,3,13,good,good,moderate,,unhealthy,unhealthy,,,,,,2148,good,good,,,,,,,,,good
