stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
718,718,Alameda Principal (Norte),36.717468,-4.42351,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=718
751,751,Camino de San Alberto,36.731853,-4.450659,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=751
754,754,Camino San Alberto (Granja Suárez),36.731121,-4.449926,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=754
755,755,Galeno (Carlinda),36.730226,-4.448234,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=755
756,756,Barón de Les,36.727716,-4.440908,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=756
758,758,Ntra. Sra. Clarines (Pza. Monseñor Bocanegra),36.729693,-4.439597,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=758
759,759,Ntra. Sra. de los Clarines (Gibraljaire),36.731159,-4.437957,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=759
760,760,Av. Arroyo de los Ángeles (Parque Victoria Eugenia),36.730876,-4.435944,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=760
761,761,Avda. Arroyo de los Ángeles (Blas de Lezo),36.729227,-4.433436,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=761
762,762,Avda. Arroyo de los Ángeles (Hospital Materno),36.728443,-4.431318,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=762
791,791,Alameda Principal (Sur),36.717332,-4.423404,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=791
802,802,Martínez Maldonado (Eugenio Gross),36.721592,-4.436326,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=802
803,803,Martínez Maldonado (Las Chapas),36.721591,-4.439004,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=803
804,804,Martínez Maldonado (Arroyo del Cuarto),36.721562,-4.441313,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=804
805,805,Avda. Carlos Haya (Parque del Norte),36.721652,-4.444062,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=805
806,806,Avda. Carlos Haya (Los Remedios),36.722128,-4.446525,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=806
807,807,Avda. Carlos Haya (Hospital),36.722772,-4.450384,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=807
808,808,Avda. Carlos Haya (Parque Florida),36.723122,-4.452561,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=808
809,809,Avda. Carlos Haya (Ortega Prados),36.72367,-4.454261,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=809
810,810,Avda. Carlos Haya (Alcubilla),36.724988,-4.457118,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=810
811,811,Avda. Carlos Haya (Teatinos),36.726048,-4.460102,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=811
812,812,Navarro Ledesma (Quinta Alegre),36.725346,-4.465209,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=812
813,813,Navarro Ledesma (Colonia Sta. Inés),36.725106,-4.466965,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=813
814,814,Navarro Ledesma (Ciudad Sta. Inés),36.724715,-4.470103,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=814
815,815,Avda. de José Ribera (La Palma),36.721613,-4.472362,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=815
816,816,Avda. de José Ribera,36.719492,-4.471501,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=816
817,817,Facultad de Derecho,36.717686,-4.470959,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=817
818,818,Facultad de Medicina,36.716955,-4.474234,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=818
819,819,Navarro Ledesma (Carril del Capitán),36.725645,-4.463057,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=819
820,820,Louis Pasteur (Jimenez Fraud),36.716766,-4.475486,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=820
